flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1393736,963,1587,10/16/2016 10:30:00,10/16/2016 21:00:00,2,New flights,
1338193,3398,1177,10/16/2016 00:30:00,10/16/2016 18:10:00,2,New flights,
1338197,3398,1177,10/16/2016 22:00:00,10/17/2016 05:55:00,3,New flights,
1334055,3398,925,10/20/2016 09:40:00,10/21/2016 07:40:00,2,New flights,
1369894,1007,3398,10/16/2016 12:20:00,10/16/2016 23:40:00,2,New flights,
1293583,1192,3398,10/11/2016 09:45:00,10/11/2016 17:00:00,3,New flights,
1330203,3863,1118,10/20/2016 14:45:00,10/21/2016 08:15:00,2,New flights,
1311491,1005,152,10/15/2016 13:40:00,10/15/2016 21:10:00,23,New flights,
1393737,1046,4227,10/16/2016 09:20:00,10/16/2016 18:05:00,2,New flights,
1379102,824,925,10/20/2016 13:35:00,10/20/2016 20:15:00,48,New flights,
1369965,1485,824,10/16/2016 04:20:00,10/16/2016 14:20:00,2,New flights,
1369974,1485,785,10/16/2016 00:05:00,10/16/2016 06:50:00,2,New flights,
1341909,217,1003,10/16/2016 16:50:00,10/16/2016 21:20:00,2,New flights,
1315060,925,1192,10/16/2016 03:55:00,10/16/2016 18:00:00,2,New flights,
1315061,925,1192,10/16/2016 09:00:00,10/16/2016 20:15:00,2,New flights,
1315066,925,1192,10/16/2016 08:15:00,10/16/2016 21:10:00,2,New flights,
1315071,925,1192,10/16/2016 01:00:00,10/16/2016 14:05:00,2,New flights,
1315073,925,1192,10/16/2016 09:30:00,10/16/2016 20:55:00,2,New flights,
1315085,925,1192,10/16/2016 14:30:00,10/16/2016 23:20:00,10,New flights,
1315092,925,1192,10/16/2016 07:50:00,10/16/2016 16:55:00,10,New flights,
1314027,925,824,10/16/2016 07:30:00,10/16/2016 13:00:00,48,New flights,
1314028,925,824,10/16/2016 11:30:00,10/16/2016 17:00:00,48,New flights,
1314034,925,824,10/16/2016 15:00:00,10/16/2016 21:00:00,48,New flights,
1393739,1009,3398,10/16/2016 09:25:00,10/16/2016 18:15:00,2,New flights,
1393740,1046,152,10/16/2016 23:55:00,10/17/2016 16:20:00,2,New flights,
1393741,3398,1192,10/16/2016 10:15:00,10/16/2016 21:15:00,2,New flights,
1314790,824,925,10/16/2016 12:30:00,10/16/2016 17:25:00,48,New flights,
1314794,824,925,10/16/2016 10:35:00,10/16/2016 17:25:00,48,New flights,
1393742,3398,1009,10/16/2016 10:00:00,10/16/2016 19:50:00,2,New flights,
1315508,152,3596,10/16/2016 06:00:00,10/16/2016 09:55:00,3,New flights,
1315511,152,3596,10/16/2016 11:30:00,10/16/2016 14:40:00,27,New flights,
1293604,1587,925,10/11/2016 08:30:00,10/11/2016 16:00:00,7,New flights,
1293608,1587,925,10/11/2016 23:40:00,10/12/2016 08:10:00,2,New flights,
1293611,1587,925,10/11/2016 23:45:00,10/12/2016 11:30:00,2,New flights,
1293612,1587,925,10/11/2016 08:30:00,10/11/2016 17:00:00,23,New flights,
1293614,1587,925,10/11/2016 10:30:00,10/11/2016 18:00:00,3,New flights,
1315512,152,3596,10/16/2016 15:00:00,10/16/2016 18:15:00,27,New flights,
1313935,925,4206,10/16/2016 03:55:00,10/16/2016 20:05:00,2,New flights,
1393743,3398,3263,10/16/2016 10:00:00,10/16/2016 23:10:00,2,New flights,
1313957,925,217,10/16/2016 11:00:00,10/16/2016 22:35:00,2,New flights,
1297654,824,925,10/12/2016 10:15:00,10/12/2016 15:50:00,2,New flights,
1297655,824,925,10/12/2016 12:15:00,10/12/2016 18:50:00,2,New flights,
1297660,824,925,10/12/2016 03:30:00,10/12/2016 08:25:00,48,New flights,
1297254,1046,3863,10/12/2016 08:40:00,10/12/2016 20:20:00,2,New flights,
1297255,1046,3863,10/12/2016 11:35:00,10/12/2016 22:55:00,2,New flights,
1297945,925,1005,10/12/2016 19:00:00,10/12/2016 21:25:00,10,New flights,
1297950,925,1005,10/12/2016 07:45:00,10/12/2016 10:25:00,23,New flights,
1297951,925,1005,10/12/2016 08:45:00,10/12/2016 11:25:00,23,New flights,
1297960,925,1005,10/12/2016 11:30:00,10/12/2016 17:00:00,23,New flights,
1297961,925,1005,10/12/2016 03:30:00,10/12/2016 06:35:00,2,New flights,
1297962,925,1005,10/12/2016 07:25:00,10/12/2016 10:25:00,23,New flights,
1297963,925,1005,10/12/2016 08:25:00,10/12/2016 11:25:00,23,New flights,
1297964,925,1005,10/12/2016 10:55:00,10/12/2016 13:55:00,23,New flights,
1297965,925,1005,10/12/2016 09:25:00,10/12/2016 12:25:00,23,New flights,
1297971,925,1005,10/12/2016 10:30:00,10/12/2016 13:00:00,23,New flights,
1297975,925,1005,10/12/2016 08:20:00,10/12/2016 11:10:00,2,New flights,
1297976,925,1005,10/12/2016 09:40:00,10/12/2016 12:30:00,2,New flights,
1297977,925,1005,10/12/2016 11:40:00,10/12/2016 14:30:00,2,New flights,
1297978,925,1005,10/12/2016 12:40:00,10/12/2016 15:30:00,2,New flights,
1297985,925,1005,10/12/2016 08:00:00,10/12/2016 10:25:00,23,New flights,
1297986,925,1005,10/12/2016 09:00:00,10/12/2016 11:25:00,23,New flights,
1297987,925,1005,10/12/2016 10:00:00,10/12/2016 12:25:00,23,New flights,
1297988,925,1005,10/12/2016 12:45:00,10/12/2016 15:10:00,23,New flights,
1379164,3594,1294,10/12/2016 23:00:00,10/13/2016 06:14:00,23,New flights,
1293617,5330,925,10/11/2016 21:30:00,10/12/2016 20:00:00,2,New flights,
1293607,1587,925,10/11/2016 15:15:00,10/12/2016 03:05:00,2,New flights,
1293606,1587,925,10/11/2016 12:05:00,10/11/2016 20:00:00,2,New flights,
1393745,1009,213,10/16/2016 10:10:00,10/16/2016 16:40:00,2,New flights,
1393746,1029,3398,10/16/2016 08:40:00,10/16/2016 18:15:00,2,New flights,
1297274,1046,3398,10/12/2016 10:15:00,10/12/2016 20:45:00,2,New flights,
1393753,1003,5330,10/16/2016 08:00:00,10/16/2016 20:00:00,2,New flights,
1370076,5086,925,10/16/2016 09:10:00,10/16/2016 20:00:00,2,New flights,
1370069,5086,925,10/16/2016 09:05:00,10/16/2016 20:00:00,2,New flights,
1370084,5086,925,10/16/2016 18:00:00,10/17/2016 06:00:00,2,New flights,
1370090,5086,1192,10/16/2016 06:20:00,10/16/2016 22:30:00,2,New flights,
1393747,1046,3596,10/16/2016 22:35:00,10/18/2016 08:20:00,2,New flights,
1314273,1046,3596,10/16/2016 06:20:00,10/16/2016 22:00:00,2,New flights,
1393748,217,1118,10/16/2016 17:15:00,10/17/2016 02:50:00,2,New flights,
1393749,217,1118,10/16/2016 19:15:00,10/17/2016 05:30:00,2,New flights,
1315175,925,1005,10/16/2016 17:40:00,10/16/2016 20:30:00,2,New flights,
1315129,925,1005,10/16/2016 17:00:00,10/16/2016 19:35:00,48,New flights,
1315130,925,1005,10/16/2016 19:00:00,10/16/2016 21:45:00,48,New flights,
1315131,925,1005,10/16/2016 07:30:00,10/16/2016 09:45:00,48,New flights,
1315229,1046,1294,10/16/2016 14:15:00,10/16/2016 19:45:00,2,New flights,
1315217,1046,1294,10/16/2016 13:15:00,10/16/2016 19:45:00,2,New flights,
1315218,1046,1294,10/16/2016 13:20:00,10/16/2016 20:10:00,2,New flights,
1315219,1046,1294,10/16/2016 15:35:00,10/16/2016 22:35:00,2,New flights,
1315223,1046,1294,10/16/2016 01:20:00,10/16/2016 08:00:00,2,New flights,
1315228,1046,1294,10/16/2016 13:00:00,10/16/2016 20:10:00,2,New flights,
1315236,1046,1294,10/16/2016 19:30:00,10/17/2016 06:00:00,2,New flights,
1315237,1046,1294,10/16/2016 01:50:00,10/16/2016 09:05:00,2,New flights,
1393751,1046,1294,10/16/2016 09:15:00,10/16/2016 17:05:00,2,New flights,
1393752,1046,1294,10/16/2016 10:35:00,10/16/2016 16:45:00,2,New flights,
1315293,1046,1177,10/16/2016 00:10:00,10/16/2016 02:30:00,2,New flights,
1315294,1046,1177,10/16/2016 00:25:00,10/16/2016 02:50:00,2,New flights,
1315309,1046,1177,10/16/2016 05:10:00,10/16/2016 07:40:00,2,New flights,
1315332,1046,1177,10/16/2016 04:25:00,10/16/2016 06:55:00,23,New flights,
1393750,1046,217,10/16/2016 09:45:00,10/16/2016 16:40:00,2,New flights,
1315540,152,824,10/16/2016 08:20:00,10/16/2016 13:00:00,48,New flights,
1315541,152,824,10/16/2016 10:20:00,10/16/2016 15:30:00,48,New flights,
1315542,152,824,10/16/2016 12:10:00,10/16/2016 17:30:00,48,New flights,
1315549,152,824,10/16/2016 04:40:00,10/16/2016 12:00:00,48,New flights,
1315550,152,824,10/16/2016 06:55:00,10/16/2016 13:00:00,48,New flights,
1315551,152,824,10/16/2016 08:55:00,10/16/2016 14:00:00,48,New flights,
1315552,152,824,10/16/2016 10:55:00,10/16/2016 17:00:00,48,New flights,
1378451,1418,3398,10/16/2016 22:55:00,10/17/2016 07:00:00,2,New flights,
1298389,3457,1192,10/12/2016 12:30:00,10/12/2016 18:15:00,2,New flights,
1296972,925,3398,10/12/2016 07:00:00,10/12/2016 22:10:00,2,New flights,
1296981,925,3398,10/12/2016 00:40:00,10/12/2016 20:10:00,2,New flights,
1298167,152,44,10/12/2016 12:40:00,10/12/2016 14:55:00,2,New flights,
1297784,925,1118,10/12/2016 13:15:00,10/12/2016 22:20:00,2,New flights,
1297791,925,1118,10/12/2016 09:50:00,10/12/2016 13:00:00,2,New flights,
1297812,925,1118,10/12/2016 10:00:00,10/12/2016 13:10:00,23,New flights,
1298038,1046,1485,10/12/2016 09:15:00,10/12/2016 12:35:00,2,New flights,
1298039,1046,1485,10/12/2016 11:00:00,10/12/2016 14:20:00,2,New flights,
1298040,1046,1485,10/12/2016 11:15:00,10/12/2016 15:05:00,2,New flights,
1298041,1046,1485,10/12/2016 13:00:00,10/12/2016 16:05:00,2,New flights,
1379165,3863,1118,10/12/2016 16:30:00,10/13/2016 13:35:00,2,New flights,
1379166,3863,1118,10/12/2016 16:45:00,10/13/2016 14:00:00,2,New flights,
1298073,1046,1177,10/12/2016 08:40:00,10/12/2016 10:30:00,2,New flights,
1319792,152,1046,10/17/2016 19:15:00,10/18/2016 04:55:00,3,New flights,
1293625,1294,4206,10/11/2016 17:15:00,10/12/2016 06:45:00,2,New flights,
1293626,1294,4206,10/11/2016 21:00:00,10/12/2016 09:00:00,2,New flights,
1293624,1294,4206,10/11/2016 03:10:00,10/11/2016 17:20:00,2,New flights,
1318848,824,925,10/17/2016 18:00:00,10/17/2016 22:15:00,10,New flights,
1297872,925,1192,10/12/2016 09:25:00,10/12/2016 19:40:00,10,New flights,
1297682,824,1046,10/12/2016 09:00:00,10/12/2016 19:40:00,2,New flights,
1297683,824,1046,10/12/2016 09:30:00,10/12/2016 21:00:00,2,New flights,
1297684,824,1046,10/12/2016 13:00:00,10/13/2016 00:40:00,2,New flights,
1298002,1046,1294,10/12/2016 00:25:00,10/12/2016 06:30:00,2,New flights,
1298013,1046,1294,10/12/2016 08:15:00,10/12/2016 13:55:00,2,New flights,
1298014,1046,1294,10/12/2016 11:00:00,10/12/2016 17:05:00,2,New flights,
1298015,1046,1294,10/12/2016 13:00:00,10/12/2016 20:10:00,2,New flights,
1301045,217,925,10/13/2016 23:15:00,10/14/2016 09:45:00,10,New flights,
1302022,925,1005,10/13/2016 02:20:00,10/13/2016 04:30:00,48,New flights,
1301433,1587,1192,10/13/2016 06:30:00,10/13/2016 23:20:00,3,New flights,
1301434,1587,1192,10/13/2016 08:00:00,10/13/2016 22:35:00,3,New flights,
1300918,925,217,10/13/2016 19:30:00,10/14/2016 05:45:00,23,New flights,
1302213,1192,1046,10/13/2016 13:55:00,10/13/2016 16:15:00,3,New flights,
1302214,1192,1046,10/13/2016 20:00:00,10/13/2016 22:30:00,3,New flights,
1323495,152,925,10/18/2016 16:40:00,10/19/2016 07:00:00,2,New flights,
1301671,824,925,10/13/2016 06:30:00,10/13/2016 11:05:00,10,New flights,
1301672,824,925,10/13/2016 09:00:00,10/13/2016 13:30:00,10,New flights,
1301673,824,925,10/13/2016 18:00:00,10/13/2016 22:15:00,10,New flights,
1341944,5086,1046,10/17/2016 12:00:00,10/17/2016 23:59:00,11,New flights,
1319537,152,3596,10/17/2016 23:00:00,10/18/2016 03:10:00,27,New flights,
1346702,1335,217,10/18/2016 16:50:00,10/19/2016 02:05:00,2,New flights,
1382201,1294,3584,10/19/2016 20:00:00,10/20/2016 03:55:00,50,New flights,
1325829,5086,1294,10/19/2016 12:05:00,10/19/2016 19:55:00,2,New flights,
1350034,4206,1177,10/19/2016 11:00:00,10/19/2016 22:10:00,2,New flights,
1350032,842,3398,10/19/2016 15:45:00,10/20/2016 07:00:00,2,New flights,
1293647,1294,824,10/11/2016 07:15:00,10/11/2016 11:53:00,7,New flights,
1293639,1294,3863,10/11/2016 17:25:00,10/12/2016 03:40:00,2,New flights,
1293644,1294,3398,10/11/2016 16:20:00,10/12/2016 07:00:00,2,New flights,
1293648,1294,824,10/11/2016 17:00:00,10/11/2016 22:45:00,11,New flights,
1293633,1294,3863,10/11/2016 03:15:00,10/11/2016 14:00:00,32,New flights,
1293632,1294,3863,10/11/2016 15:50:00,10/11/2016 23:00:00,7,New flights,
1378700,5086,925,10/18/2016 09:05:00,10/18/2016 20:00:00,2,New flights,
1293645,1294,3398,10/11/2016 21:00:00,10/12/2016 08:50:00,2,New flights,
1293642,1294,3398,10/11/2016 06:45:00,10/11/2016 19:05:00,2,New flights,
1293640,1294,3863,10/11/2016 23:20:00,10/12/2016 06:05:00,2,New flights,
1293643,1294,3398,10/11/2016 12:30:00,10/12/2016 06:45:00,2,New flights,
1293634,1294,3863,10/11/2016 19:20:00,10/12/2016 09:45:00,2,New flights,
1293635,1294,3863,10/11/2016 03:50:00,10/11/2016 14:30:00,6,New flights,
1293636,1294,3863,10/11/2016 05:00:00,10/11/2016 13:00:00,2,New flights,
1293637,1294,3863,10/11/2016 08:25:00,10/11/2016 16:55:00,2,New flights,
1293641,1294,3863,10/11/2016 00:50:00,10/11/2016 11:00:00,6,New flights,
1393758,925,4651,10/18/2016 22:30:00,10/19/2016 09:00:00,23,New flights,
1393759,824,925,10/19/2016 13:35:00,10/19/2016 20:15:00,48,New flights,
1350035,4206,1177,10/19/2016 15:00:00,10/20/2016 01:45:00,2,New flights,
1393757,1335,3398,10/18/2016 20:15:00,10/19/2016 06:30:00,11,New flights,
1378834,1051,824,10/18/2016 10:00:00,10/18/2016 22:55:00,2,New flights,
1393760,1335,3398,10/19/2016 20:15:00,10/20/2016 06:30:00,11,New flights,
1350036,4206,1177,10/19/2016 16:15:00,10/20/2016 02:50:00,2,New flights,
1350031,842,3398,10/19/2016 23:45:00,10/20/2016 06:00:00,3,New flights,
1385519,1485,3551,10/19/2016 16:00:00,10/20/2016 07:30:00,3,New flights,
1325832,5086,1294,10/19/2016 12:00:00,10/19/2016 19:55:00,2,New flights,
1293651,1294,824,10/11/2016 00:50:00,10/11/2016 06:30:00,8,New flights,
1293652,1294,824,10/11/2016 17:30:00,10/11/2016 22:45:00,18,New flights,
1325820,925,152,10/19/2016 11:25:00,10/20/2016 04:45:00,10,New flights,
1389664,1294,3584,10/20/2016 22:00:00,10/21/2016 05:00:00,23,New flights,
1326149,1192,824,10/19/2016 05:25:00,10/19/2016 19:30:00,3,New flights,
1385984,1294,3565,10/20/2016 22:00:00,10/21/2016 05:25:00,50,New flights,
1393761,3863,1294,10/19/2016 16:00:00,10/20/2016 02:00:00,3,New flights,
1354188,1335,217,10/20/2016 21:00:00,10/21/2016 06:15:00,3,New flights,
1330879,1046,1177,10/20/2016 18:15:00,10/20/2016 20:30:00,2,New flights,
1354300,1485,3594,10/20/2016 18:30:00,10/21/2016 06:45:00,2,New flights,
1354192,1335,217,10/20/2016 08:15:00,10/20/2016 22:05:00,2,New flights,
1330191,5330,925,10/20/2016 21:30:00,10/21/2016 22:00:00,33,New flights,
1330888,1046,1177,10/20/2016 15:15:00,10/20/2016 17:20:00,3,New flights,
1329813,925,152,10/20/2016 09:15:00,10/20/2016 18:10:00,2,New flights,
1330887,1046,1177,10/20/2016 23:55:00,10/21/2016 02:50:00,2,New flights,
1329922,1046,4206,10/20/2016 20:20:00,10/21/2016 09:00:00,2,New flights,
1354339,3594,1485,10/20/2016 22:45:00,10/21/2016 09:15:00,3,New flights,
1293664,1294,824,10/11/2016 23:20:00,10/12/2016 13:00:00,2,New flights,
1293665,1294,824,10/11/2016 23:55:00,10/12/2016 14:10:00,2,New flights,
1293667,1294,824,10/11/2016 16:00:00,10/11/2016 20:53:00,7,New flights,
1293661,1294,824,10/11/2016 15:00:00,10/11/2016 22:45:00,2,New flights,
1293662,1294,824,10/11/2016 17:15:00,10/11/2016 23:35:00,2,New flights,
1293666,1294,824,10/11/2016 10:15:00,10/11/2016 14:53:00,7,New flights,
1350608,1192,5330,10/20/2016 07:10:00,10/20/2016 21:55:00,2,New flights,
1393763,1294,785,10/20/2016 03:15:00,10/20/2016 09:15:00,3,New flights,
1330875,1046,1177,10/20/2016 15:55:00,10/20/2016 17:50:00,2,New flights,
1350041,5086,1046,10/19/2016 23:05:00,10/20/2016 13:55:00,10,New flights,
1293197,925,824,10/11/2016 19:00:00,10/11/2016 23:30:00,11,New flights,
1449232,3398,1009,10/20/2016 10:00:00,10/20/2016 19:50:00,2,New flights,
1329923,1046,4206,10/20/2016 08:00:00,10/20/2016 16:15:00,3,New flights,
1365924,1485,4020,10/11/2016 14:55:00,10/12/2016 07:15:00,36,New flights,
1293194,925,824,10/11/2016 19:00:00,10/11/2016 23:30:00,10,New flights,
1329761,925,824,10/20/2016 15:00:00,10/20/2016 21:00:00,48,New flights,
1449233,3398,1009,10/20/2016 11:00:00,10/20/2016 21:50:00,2,New flights,
1293631,1294,3863,10/11/2016 06:50:00,10/11/2016 14:00:00,7,New flights,
1293618,5330,925,10/11/2016 14:30:00,10/12/2016 09:30:00,33,New flights,
1293602,1192,824,10/11/2016 21:10:00,10/12/2016 08:30:00,2,New flights,
1293598,1192,824,10/11/2016 09:35:00,10/11/2016 19:55:00,8,New flights,
1293613,1587,925,10/11/2016 06:30:00,10/11/2016 14:00:00,3,New flights,
1293582,1192,5330,10/11/2016 18:30:00,10/12/2016 05:45:00,3,New flights,
1293620,5330,1192,10/11/2016 21:30:00,10/12/2016 10:10:00,3,New flights,
1293659,1294,824,10/11/2016 08:00:00,10/11/2016 18:10:00,2,New flights,
1293649,1294,824,10/11/2016 17:00:00,10/11/2016 22:45:00,10,New flights,
1350044,5086,1046,10/19/2016 12:05:00,10/20/2016 00:40:00,2,New flights,
1294325,152,3596,10/11/2016 09:00:00,10/11/2016 12:10:00,27,New flights,
1293663,1294,824,10/11/2016 19:00:00,10/12/2016 09:40:00,2,New flights,
1299495,3398,3353,10/11/2016 23:30:00,10/12/2016 05:45:00,30,New flights,
1293266,5086,1294,10/11/2016 21:35:00,10/12/2016 05:50:00,2,New flights,
1349884,1192,5086,10/11/2016 07:20:00,10/12/2016 00:00:00,2,New flights,
1294254,152,44,10/11/2016 12:30:00,10/11/2016 14:55:00,2,New flights,
1350045,5086,1046,10/19/2016 16:10:00,10/20/2016 03:40:00,2,New flights,
1365925,1335,3596,10/12/2016 20:45:00,10/14/2016 08:20:00,2,New flights,
1321630,1294,3594,10/12/2016 20:00:00,10/13/2016 04:35:00,50,New flights,
1321472,1118,1580,10/12/2016 05:00:00,10/12/2016 11:45:00,6,New flights,
1350046,5086,1046,10/19/2016 21:35:00,10/20/2016 12:55:00,2,New flights,
1301226,1046,3863,10/13/2016 21:05:00,10/14/2016 17:20:00,2,New flights,
1293683,1294,152,10/11/2016 09:05:00,10/11/2016 14:13:00,2,New flights,
1301515,1294,3398,10/13/2016 21:00:00,10/14/2016 08:50:00,2,New flights,
1357561,1485,4206,10/13/2016 07:20:00,10/13/2016 17:20:00,2,New flights,
1301868,925,1294,10/13/2016 11:00:00,10/14/2016 06:00:00,2,New flights,
1301319,1118,217,10/13/2016 13:45:00,10/14/2016 01:45:00,2,New flights,
1301737,824,1294,10/13/2016 07:00:00,10/13/2016 12:30:00,11,New flights,
1301454,3863,1118,10/13/2016 19:00:00,10/14/2016 14:45:00,2,New flights,
1361883,5030,925,10/14/2016 07:35:00,10/14/2016 18:55:00,2,New flights,
1361901,925,3594,10/14/2016 14:30:00,10/15/2016 06:45:00,2,New flights,
1361902,925,3594,10/14/2016 17:30:00,10/15/2016 10:30:00,2,New flights,
1361857,1177,1815,10/14/2016 17:45:00,10/15/2016 10:15:00,3,New flights,
1361860,1177,3596,10/14/2016 10:00:00,10/14/2016 23:55:00,2,New flights,
1365931,1177,3596,10/14/2016 17:00:00,10/15/2016 08:15:00,3,New flights,
1361918,1046,3593,10/14/2016 14:15:00,10/15/2016 08:15:00,2,New flights,
1361665,925,5086,10/14/2016 07:00:00,10/14/2016 18:50:00,2,New flights,
1365930,1485,3577,10/14/2016 14:55:00,10/15/2016 07:05:00,23,New flights,
1365929,1485,3593,10/14/2016 16:25:00,10/15/2016 08:15:00,2,New flights,
1361710,5086,925,10/14/2016 12:45:00,10/15/2016 00:15:00,2,New flights,
1350047,5086,1046,10/19/2016 06:00:00,10/19/2016 19:30:00,2,New flights,
